Test_Code;NHS_Code;Lab_ID;CitizenCard_Number;NHS_Number;TIN;BirthDay;PhoneNumber;Name;E-mail;Address;TestType;Category;HB000;WBC00;PLT00;RBC00;Category;HDL00;Category;IgGAN;Test_Reg_DateHour;Test_Chemical_DateHour;Test_Doctor_DateHour;Test_Validation_DateHour
000000000001;PXS000003196;001DO;0000000000003196;6000003196;2100003196;03/11/1946;91200003196;Georgia PEDDIE;GeorgiaPEDDIE2155@gmail.com;115 Street of England 23 Dorchester  DO 86 GO;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,5;22/03/2021 08:00;22/03/2021 14:22;22/03/2021 16:25;2021/03/22 18:52
000000000002;HIG000003136;001MA;0000000000003136;6000003136;2100003136;21/05/1945;91200003136;Chloe LYLE;ChloeLYLE2155@yahoo.com;898 Street of England 7 Manchester  MA 63 BR;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,5;22/03/2021 08:02;22/03/2021 13:23;22/03/2021 16:05;2021/03/23 17:37
000000000003;TTX000003182;001MA;0000000000003182;6000003182;2100003182;08/09/1946;91200003182;Olive VALLANCE;OliveVALLANCE2155@gmail.com;785 Street of England 17 Manchester  MA 28 XY;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,1;22/03/2021 08:06;22/03/2021 13:14;22/03/2021 15:51;2021/03/23 18:15
000000000004;OVZ000003095;001SO;0000000000003095;6000003095;2100003095;15/05/1947;91200003095;Ruby GAULT;RubyGAULT2155@gmail.com;753 Street of England 24 Southampton  SO 59 KV;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,9;22/03/2021 08:11;22/03/2021 12:16;22/03/2021 15:22;2021/03/23 18:17
000000000005;BFT000003116;001LR;0000000000003116;6000003116;2100003116;23/11/1946;91200003116;Stella RAI;StellaRAI2155@hotmail.com;587 Street of England 7 Leicester LR 30 EP;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,9;22/03/2021 08:12;22/03/2021 14:22;22/03/2021 16:48;2021/03/24 18:05
000000000006;XLX000003120;001MA;0000000000003120;6000003120;2100003120;06/08/1946;91200003120;Eva MORRICE;EvaMORRICE2155@yahoo.com;314 Street of England 30 Manchester  MA 70 AG;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,7;22/03/2021 08:15;22/03/2021 13:26;22/03/2021 15:42;2021/03/26 17:09
000000000007;PYC000003149;001WA;0000000000003148;6000003148;2100003148;05/11/1947;91200003121;Daisy GILROY;DaisyGILROY2155@yahoo.com;60 Street of England 1 Walsall  WA 50 BL;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,6;22/03/2021 08:15;22/03/2021 13:26;22/03/2021 15:39;2021/03/22 17:15
000000000008;PYC000003147;001Wb;0000000000003147;6000003121;2100003149;05/11/1957;91200003122;Vaisy GILROY;VaisyGILROY2155@yahoo.com;60 Street of England 1 Walsall  WA 50 BL;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,6;22/03/2021 08:15;22/03/2021 13:26;22/03/2021 15:39;2021/03/23 17:15
000000000009;PYC000003145;001Wc;0000000000003145;6000003228;2100003147;05/11/1977;91200003123;Baisy GILROY;BaisyGILROY2155@yahoo.com;60 Street of England 1 Walsall  WA 50 BL;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,6;22/03/2021 08:15;22/03/2021 13:26;22/03/2021 15:39;2021/03/24 17:15
000000000010;PYC000003143;001Wd;0000000000003143;6000003190;2100003145;05/11/1997;91200003124;Naisy GILROY;NaisyGILROY2155@yahoo.com;60 Street of England 1 Walsall  WA 50 BL;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,6;22/03/2021 08:15;22/03/2021 13:26;22/03/2021 15:39;2021/03/26 17:15
